"current_path","filename","new_path","source_exists","target_exists","target_dir_exists","target_abs"
"current_path","filename","new_path","False","False","True","d:\Work\Coding\Trading\new_path"
"D:\Work\Coding\Trading\EZ3.pine","EZ3.pine","indicators/key_level/archive/EZ3.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\EZ3.pine"
"D:\Work\Coding\Trading\Ideas.pine","Ideas.pine","z_archive/notes/Ideas.pine","True","True","True","d:\Work\Coding\Trading\z_archive\notes\Ideas.pine"
"D:\Work\Coding\Trading\VPP4.pine","VPP4.pine","indicators/volume_profile/VPP_v4_0.pine","True","True","True","d:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_0.pine"
"D:\Work\Coding\Trading\VPP41.pine","VPP41.pine","indicators/volume_profile/archive/VPP_v4_1_copy.pine","True","True","True","d:\Work\Coding\Trading\indicators\volume_profile\archive\VPP_v4_1_copy.pine"
"D:\Work\Coding\Trading\VPP42.pine","VPP42.pine","indicators/volume_profile/VPP_v4_2_Final.pine","True","True","True","d:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_2_Final.pine"
"D:\Work\Coding\Trading\vsa-functions.pine","vsa-functions.pine","libraries/vsa-functions.pine","True","True","True","d:\Work\Coding\Trading\libraries\vsa-functions.pine"
"D:\Work\Coding\Trading\WSH Velo.pine","WSH Velo.pine","indicators/hybrid/wyckoff_smc/archive/WSH_Velo_v5_2_copy.pine","True","True","True","d:\Work\Coding\Trading\indicators\hybrid\wyckoff_smc\archive\WSH_Velo_v5_2_copy.pine"
"D:\Work\Coding\Trading\indicators/cvd/Better-01.pine","Better-01.pine","indicators/order_flow/archive/bette_series/Better-01.pine","False","False","True","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-01.pine"
"D:\Work\Coding\Trading\indicators/cvd/Better-02.pine","Better-02.pine","indicators/order_flow/archive/bette_series/Better-02.pine","False","False","True","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-02.pine"
"D:\Work\Coding\Trading\indicators/cvd/Better-03.pine","Better-03.pine","indicators/order_flow/archive/bette_series/Better-03.pine","False","False","True","d:\Work\Coding\Trading\indicators\order_flow\archive\bette_series\Better-03.pine"
"D:\Work\Coding\Trading\indicators/cvd/Better-04.pine","Better-04.pine","indicators/order_flow/Better_CVD_v4.pine","False","False","True","d:\Work\Coding\Trading\indicators\order_flow\Better_CVD_v4.pine"
"D:\Work\Coding\Trading\indicators/cvd/C+V+D.pine","C+V+D.pine","indicators/order_flow/archive/C+V+D_legacy.pine","True","True","True","d:\Work\Coding\Trading\indicators\order_flow\archive\C+V+D_legacy.pine"
"D:\Work\Coding\Trading\indicators/cvd/CVD Pro.pine","CVD Pro.pine","indicators/order_flow/CVD_Pro.pine","True","True","True","d:\Work\Coding\Trading\indicators\order_flow\CVD_Pro.pine"
"D:\Work\Coding\Trading\indicators/cvd/Vol+CVD.pine","Vol+CVD.pine","indicators/order_flow/archive/Vol+CVD_legacy.pine","True","True","True","d:\Work\Coding\Trading\indicators\order_flow\archive\Vol+CVD_legacy.pine"
"D:\Work\Coding\Trading\indicators/kv/Eclaude.pine","Eclaude.pine","indicators/key_level/KV_Zone_Advanced.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\KV_Zone_Advanced.pine"
"D:\Work\Coding\Trading\indicators/kv/EZ-01.pine","EZ-01.pine","indicators/key_level/archive/ezz_series/EZ-01.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZ-01.pine"
"D:\Work\Coding\Trading\indicators/kv/EZ-02.pine","EZ-02.pine","indicators/key_level/archive/ezz_series/EZ-02.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZ-02.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZ-01.pine","EZZ-01.pine","indicators/key_level/archive/ezz_series/EZZ-01.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-01.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZ-02.pine","EZZ-02.pine","indicators/key_level/archive/ezz_series/EZZ-02.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-02.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZ-03.pine","EZZ-03.pine","indicators/key_level/archive/ezz_series/EZZ-03.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-03.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZ-04.pine","EZZ-04.pine","indicators/key_level/archive/ezz_series/EZZ-04.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-04.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZ-05.pine","EZZ-05.pine","indicators/key_level/archive/ezz_series/EZZ-05.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-05.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZ-06.pine","EZZ-06.pine","indicators/key_level/archive/ezz_series/EZZ-06.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-06.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZ-07.pine","EZZ-07.pine","indicators/key_level/archive/ezz_series/EZZ-07.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-07.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZ-08.pine","EZZ-08.pine","indicators/key_level/archive/ezz_series/EZZ-08.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-08.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZII.pine","EZZII.pine","indicators/key_level/archive/EZZII_Gemini_Flip_copy.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\EZZII_Gemini_Flip_copy.pine"
"D:\Work\Coding\Trading\indicators/kv/EZZY.PINE","EZZY.PINE","indicators/key_level/EZZ_Gemini_Flip.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\EZZ_Gemini_Flip.pine"
"D:\Work\Coding\Trading\indicators/kvs/KVS 30.pine","KVS 30.pine","indicators/key_level/archive/KVS_30.pine","True","True","True","d:\Work\Coding\Trading\indicators\key_level\archive\KVS_30.pine"
"D:\Work\Coding\Trading\indicators/other/Leviathan.pine","Leviathan.pine","indicators/composite/Leviathan.pine","True","True","True","d:\Work\Coding\Trading\indicators\composite\Leviathan.pine"
"D:\Work\Coding\Trading\indicators/other/PI-01.pine","PI-01.pine","indicators/vsa/pi_family/core_evolution/PI-01.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-01.pine"
"D:\Work\Coding\Trading\indicators/other/PI-02.pine","PI-02.pine","indicators/vsa/pi_family/core_evolution/PI-02.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-02.pine"
"D:\Work\Coding\Trading\indicators/other/PI-06.pine","PI-06.pine","indicators/vsa/pi_family/core_evolution/PI-06.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-06.pine"
"D:\Work\Coding\Trading\indicators/other/PI-07.pine","PI-07.pine","indicators/vsa/pi_family/core_evolution/PI-07.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-07.pine"
"D:\Work\Coding\Trading\indicators/other/PI-08.pine","PI-08.pine","indicators/vsa/pi_family/core_evolution/PI-08.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-08.pine"
"D:\Work\Coding\Trading\indicators/other/PI-09.pine","PI-09.pine","indicators/vsa/pi_family/core_evolution/PI-09.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-09.pine"
"D:\Work\Coding\Trading\indicators/other/PI-10.pine","PI-10.pine","indicators/vsa/pi_family/core_evolution/PI-10.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-10.pine"
"D:\Work\Coding\Trading\indicators/other/PI-11.pine","PI-11.pine","indicators/vsa/pi_family/core_evolution/PI-11.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-11.pine"
"D:\Work\Coding\Trading\indicators/other/PI-12.pine","PI-12.pine","indicators/vsa/pi_family/core_evolution/PI-12.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-12.pine"
"D:\Work\Coding\Trading\indicators/other/PI-13.pine","PI-13.pine","indicators/vsa/pi_family/core_evolution/PI-13.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-13.pine"
"D:\Work\Coding\Trading\indicators/other/PI-14.pine","PI-14.pine","indicators/vsa/pi_family/core_evolution/PI-14.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-14.pine"
"D:\Work\Coding\Trading\indicators/other/PI-15.pine","PI-15.pine","indicators/vsa/pi_family/core_evolution/PI-15.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-15.pine"
"D:\Work\Coding\Trading\indicators/other/PI-16.pine","PI-16.pine","indicators/vsa/pi_family/core_evolution/PI-16.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-16.pine"
"D:\Work\Coding\Trading\production/PI-03.pine","PI-03.pine","indicators/vsa/pi_family/core_evolution/PI-03.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-03.pine"
"D:\Work\Coding\Trading\production/PI-04.pine","PI-04.pine","indicators/vsa/pi_family/core_evolution/PI-04.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-04.pine"
"D:\Work\Coding\Trading\production/PI-05.pine","PI-05.pine","indicators/vsa/pi_family/core_evolution/PI-05.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-05.pine"
"D:\Work\Coding\Trading\production/PI-17.pine","PI-17.pine","indicators/vsa/pi_family/core_evolution/PI-17.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-17.pine"
"D:\Work\Coding\Trading\indicators/other/PI-18.pine","PI-18.pine","indicators/vsa/pi_family/core_evolution/PI-18.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-18.pine"
"D:\Work\Coding\Trading\indicators/other/PICE-01.pine","PICE-01.pine","indicators/vsa/pi_family/confluence_engine/PICE-01.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-01.pine"
"D:\Work\Coding\Trading\indicators/other/PICE-02.pine","PICE-02.pine","indicators/vsa/pi_family/confluence_engine/PICE-02.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-02.pine"
"D:\Work\Coding\Trading\indicators/other/PICE-03.pine","PICE-03.pine","indicators/vsa/pi_family/confluence_engine/PICE-03.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-03.pine"
"D:\Work\Coding\Trading\indicators/other/PICE-04.pine","PICE-04.pine","indicators/vsa/pi_family/confluence_engine/PICE-04.pine","True","True","True","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-04.pine"
